datetime,theta,mu,sigma_eq,half_life_min
2025-09-25 09:35:00,0.00759677922745434,-5.680852844749584,0.1359474667709586,91.24224356223881
2025-09-25 14:04:00,0.01000147719677577,-5.655947678839302,0.12190056530810135,69.30448042049218
2025-09-26 13:03:00,0.015115789058235265,-5.642651006151498,0.10086781406271698,45.85583841435722
2025-09-29 10:33:00,0.012663091472443412,-5.648268412005715,0.10604947535288688,54.737595639131776
2025-09-30 09:32:00,0.014304306848598196,-5.639306080313662,0.0997697711415663,48.45723654396248
2025-09-30 14:01:00,0.00979733736297647,-5.687466411944583,0.12009611171434985,70.74852634750596
2025-10-09 13:00:00,0.005135605767342192,-5.790671440773435,0.15621625700824965,134.96892323155615
2025-10-10 10:30:00,0.005767800301777483,-5.848050799700034,0.14523829765977186,120.17530848742035
2025-10-10 15:00:00,0.005812478927047639,-5.92751767565018,0.1343216933282374,119.25156017933625
2025-10-13 13:58:00,0.00733379450546147,-5.906939786897473,0.13604315050068377,94.51412635624835
2025-10-14 11:27:00,0.01261633166188142,-5.919480417248371,0.11847221919759744,54.94046915825763
2025-10-15 10:25:00,0.03332437132503405,-5.95164141823352,0.07510627756386415,20.800007712050576
2025-10-15 14:54:00,0.04221041836947461,-5.968758568208588,0.06640366886677188,16.421234551449267
2025-10-16 13:52:00,0.02461403796084164,-5.992233346084477,0.08760530879926924,28.160644818321558
2025-10-17 11:22:00,0.023076008361784677,-5.997524571421621,0.0902333287741815,30.037568443069237
2025-10-20 10:21:00,0.021873548506910374,-5.9917222724923995,0.09145151674049729,31.688830933900075
2025-10-20 14:50:00,0.017478873260193057,-5.978201695354458,0.09782552987685159,39.65628506149425
2025-10-21 13:49:00,0.019006187652258436,-5.992843938256817,0.08519694729120281,36.469553665465426
2025-10-22 11:18:00,0.016830170379647937,-5.992385132702477,0.08653725214022066,41.18479878243782
2025-10-23 10:17:00,0.012683183062651633,-5.9514143678826015,0.09963773452453414,54.65088512370894
2025-10-23 14:47:00,0.01803543822008224,-5.908157907109412,0.0834604095589422,38.43251115396433
2025-10-24 13:46:00,0.023660853092061326,-5.883895040842428,0.0722199144247552,29.295105204491108
2025-10-27 11:16:00,0.02164816306122228,-5.883215776597851,0.07364239144117098,32.01875275050748
2025-10-28 10:15:00,0.0178821372066668,-5.891846955927572,0.08382097993627473,38.7619875940515
2025-10-28 14:44:00,0.010547358281413016,-5.911725814163758,0.10876423774686389,65.71761023624632
2025-10-29 13:42:00,0.006952113557218085,-5.9557335794224,0.13239128629392774,99.70308667358863
2025-10-30 11:11:00,0.006574145836288615,-6.016781301716617,0.13499658172678247,105.43532160997152
2025-10-31 10:10:00,0.006172912243377227,-6.0920766835260105,0.13807215593544597,112.28852010711907
2025-10-31 14:39:00,0.012192093019842124,-6.122946228493509,0.09795916448233759,56.85218931908386
2025-11-03 13:38:00,0.012897048481245663,-6.120409231054887,0.08993330644182342,53.74463634589653
2025-11-04 11:07:00,0.007013787872071995,-6.096917183277306,0.10883639108143273,98.8263678917306
2025-11-05 10:06:00,0.0032967686917646957,-6.016331490833662,0.15524634647356397,210.25047413590826
