datetime,spread,zscore,mu,futures_pos,etf_pos
2025-09-25 09:36:00,-5.585961127130503,0.6980028379561692,-5.680852844749584,0,0.0
2025-09-25 09:37:00,-5.599472919987704,0.5986130282146911,-5.680852844749584,0,0.0
2025-09-25 09:38:00,-5.583496505702129,0.7161320571826355,-5.680852844749584,0,0.0
2025-09-25 09:39:00,-5.576496505702124,0.7676225348374964,-5.680852844749584,0,0.0
2025-09-25 09:40:00,-5.5916671033212,0.6560309180210201,-5.680852844749584,0,0.0
2025-09-25 09:41:00,-5.643325908083057,0.27603998484026016,-5.680852844749584,0,0.0
2025-09-25 09:42:00,-5.654814115225847,0.1915352315288574,-5.680852844749584,0,0.0
2025-09-25 09:43:00,-5.639643517606771,0.30312684834533377,-5.680852844749584,0,0.0
2025-09-25 09:44:00,-5.621325908083065,0.43786720032678694,-5.680852844749584,0,0.0
2025-09-25 09:45:00,-5.60149650570213,0.5837279717845111,-5.680852844749584,0,0.0
2025-09-25 09:46:00,-5.594984712844919,0.6316273038712328,-5.680852844749584,0,0.0
2025-09-25 09:47:00,-5.589325908083055,0.6732522410346333,-5.680852844749584,0,0.0
2025-09-25 09:48:00,-5.58400829855934,0.7123674202286219,-5.680852844749584,0,0.0
2025-09-25 09:49:00,-5.575008298559339,0.7785694629276841,-5.680852844749584,0,0.0
2025-09-25 09:50:00,-5.597496505702125,0.613151101873018,-5.680852844749584,0,0.0
2025-09-25 09:51:00,-5.583496505702129,0.7161320571826355,-5.680852844749584,0,0.0
2025-09-25 09:52:00,-5.584325908083059,0.7100311536451887,-5.680852844749584,0,0.0
2025-09-25 09:53:00,-5.591984712844919,0.6536946514375869,-5.680852844749584,0,0.0
2025-09-25 09:54:00,-5.60415531046398,0.5641703821875691,-5.680852844749584,0,0.0
2025-09-25 09:55:00,-5.573667103321199,0.7884350034191445,-5.680852844749584,0,0.0
2025-09-25 09:56:00,-5.582667103321199,0.7222329607200824,-5.680852844749584,0,0.0
2025-09-25 09:57:00,-5.592081804511665,0.6529804662522967,-5.680852844749584,0,0.0
2025-09-25 09:58:00,-5.572861286654685,0.7943624155707171,-5.680852844749584,0,0.0
2025-09-25 09:59:00,-5.590202481892831,0.6668043547253335,-5.680852844749584,0,0.0
2025-09-25 10:00:00,-5.586031884273751,0.6974823637985464,-5.680852844749584,0,0.0
2025-09-25 10:01:00,-5.600690689035616,0.5896553839360836,-5.680852844749584,0,0.0
2025-09-25 10:02:00,-5.597031884273747,0.616568756055283,-5.680852844749584,0,0.0
2025-09-25 10:03:00,-5.606373079511897,0.5478569553868088,-5.680852844749584,0,0.0
2025-09-25 10:04:00,-5.607373079511902,0.5405011728646559,-5.680852844749584,0,0.0
2025-09-25 10:05:00,-5.623349493797477,0.4229821438967115,-5.680852844749584,0,0.0
2025-09-25 10:06:00,-5.5958612866546815,0.6251794175620374,-5.680852844749584,0,0.0
2025-09-25 10:07:00,-5.601520091416546,0.5835544803986368,-5.680852844749584,0,0.0
2025-09-25 10:08:00,-5.5593730795119,0.893578733926321,-5.680852844749584,0,0.0
2025-09-25 10:09:00,-5.583202481892826,0.7182948323801945,-5.680852844749584,0,0.0
2025-09-25 10:10:00,-5.592202481892826,0.6520927896811323,-5.680852844749584,0,0.0
2025-09-25 10:11:00,-5.576714274750046,0.7660206730809375,-5.680852844749584,0,0.0
2025-09-25 10:12:00,-5.547396665226302,0.9816746328059676,-5.680852844749584,0,0.0
2025-09-25 10:13:00,-5.556908458083512,0.9117079531528919,-5.680852844749584,0,0.0
2025-09-25 10:14:00,-5.561908458083508,0.8749290405423366,-5.680852844749584,0,0.0
2025-09-25 10:15:00,-5.570567262845387,0.8112367558124773,-5.680852844749584,0,0.0
2025-09-25 10:16:00,-5.571908458083513,0.8013712153211215,-5.680852844749584,0,0.0
2025-09-25 10:17:00,-5.5799084580835085,0.7425249551442121,-5.680852844749584,0,0.0
2025-09-25 10:18:00,-5.560761446178859,0.8833662106632167,-5.680852844749584,0,0.0
2025-09-25 10:19:00,-5.568249653321658,0.8282845874402164,-5.680852844749584,0,0.0
2025-09-25 10:20:00,-5.559932043797943,0.889467114200559,-5.680852844749584,0,0.0
2025-09-25 10:21:00,-5.588420250940715,0.6799140580132893,-5.680852844749584,0,0.0
2025-09-25 10:22:00,-5.602420250940725,0.5769331027035672,-5.680852844749584,0,0.0
2025-09-25 10:23:00,-5.610079055702585,0.5205966004959655,-5.680852844749584,0,0.0
2025-09-25 10:24:00,-5.604079055702584,0.5647312956286736,-5.680852844749584,0,0.0
2025-09-25 10:25:00,-5.6077378604644394,0.5378179235095787,-5.680852844749584,0,0.0
2025-09-25 10:26:00,-5.603079055702594,0.5720870781507219,-5.680852844749584,0,0.0
2025-09-25 10:27:00,-5.615590848559805,0.4800530509312921,-5.680852844749584,0,0.0
2025-09-25 10:28:00,-5.605420250940725,0.5548657551372133,-5.680852844749584,0,0.0
2025-09-25 10:29:00,-5.6147378604644445,0.4863274458547177,-5.680852844749584,0,0.0
2025-09-25 10:30:00,-5.593420250940724,0.6431351454026295,-5.680852844749584,0,0.0
2025-09-25 10:31:00,-5.585249653321654,0.7032362845642448,-5.680852844749584,0,0.0
2025-09-25 10:32:00,-5.603079055702594,0.5720870781507219,-5.680852844749584,0,0.0
2025-09-25 10:33:00,-5.62790845808351,0.3894473940825471,-5.680852844749584,0,0.0
2025-09-25 10:34:00,-5.638737860464445,0.30978866532388516,-5.680852844749584,0,0.0
2025-09-25 10:35:00,-5.61924965332166,0.45313967881219724,-5.680852844749584,0,0.0
2025-09-25 10:36:00,-5.63173786046444,0.3612791429787462,-5.680852844749584,0,0.0
2025-09-25 10:37:00,-5.630714274750034,0.36880841688666877,-5.680852844749584,0,0.0
2025-09-25 10:38:00,-5.590884872369088,0.661784838786823,-5.680852844749584,0,0.0
2025-09-25 10:39:00,-5.622543677130977,0.4289095560481796,-5.680852844749584,0,0.0
2025-09-25 10:40:00,-5.628373079511903,0.38602973990017747,-5.680852844749584,0,0.0
2025-09-25 10:41:00,-5.623031884273757,0.4253184104801448,-5.680852844749584,0,0.0
2025-09-25 10:42:00,-5.600373079511897,0.591991650519517,-5.680852844749584,0,0.0
2025-09-25 10:43:00,-5.589373079511901,0.6729052582627804,-5.680852844749584,0,0.0
2025-09-25 10:44:00,-5.599543677130981,0.5980925540568592,-5.680852844749584,0,0.0
2025-09-25 10:45:00,-5.603226067607238,0.5710056905519947,-5.680852844749584,0,0.0
2025-09-25 10:46:00,-5.6130554699881685,0.4987027443154856,-5.680852844749584,0,0.0
2025-09-25 10:47:00,-5.618202481892837,0.460842444105994,-5.680852844749584,0,0.0
2025-09-25 10:48:00,-5.602543677130981,0.5760252064905051,-5.680852844749584,0,0.0
2025-09-25 10:49:00,-5.602714274750042,0.5747703275059037,-5.680852844749584,0,0.0
2025-09-25 10:50:00,-5.622543677130977,0.4289095560481796,-5.680852844749584,0,0.0
2025-09-25 10:51:00,-5.614884872369089,0.48524605825599043,-5.680852844749584,0,0.0
2025-09-25 10:52:00,-5.613884872369098,0.4926018407780388,-5.680852844749584,0,0.0
2025-09-25 10:53:00,-5.631031884273753,0.36647215030323543,-5.680852844749584,0,0.0
2025-09-25 10:54:00,-5.6228612866546825,0.42657328946485085,-5.680852844749584,0,0.0
2025-09-25 10:55:00,-5.621275987845152,0.4382344027403286,-5.680852844749584,0,0.0
2025-09-25 10:56:00,-5.633861286654692,0.34565968172148287,-5.680852844749584,0,0.0
2025-09-25 10:57:00,-5.637690689035622,0.317491430617682,-5.680852844749584,0,0.0
2025-09-25 10:58:00,-5.621031884273748,0.4400299755244505,-5.680852844749584,0,0.0
2025-09-25 10:59:00,-5.634861286654683,0.33830389919943454,-5.680852844749584,0,0.0
2025-09-25 11:00:00,-5.6406906890356225,0.2954240830513279,-5.680852844749584,0,0.0
2025-09-25 11:01:00,-5.630543677130973,0.37006329587127024,-5.680852844749584,0,0.0
2025-09-25 11:02:00,-5.649543677130978,0.23030342795099296,-5.680852844749584,0,0.0
2025-09-25 11:03:00,-5.658884872369086,0.1615916272828323,-5.680852844749584,0,0.0
2025-09-25 11:04:00,-5.651958378321439,0.21254141113806835,-5.680852844749584,0,0.0
2025-09-25 11:05:00,-5.6525436771309785,0.2082360803846389,-5.680852844749584,0,0.0
2025-09-25 11:06:00,-5.664031884273754,0.1237313270733407,-5.680852844749584,0,0.0
2025-09-25 11:07:00,-5.656202481892834,0.181322708265544,-5.680852844749584,0,0.0
2025-09-25 11:08:00,-5.657031884273749,0.1752218047282017,-5.680852844749584,0,0.0
