datetime,action,direction,futures_lots,etf_shares,etf_price,tl_price,spread,zscore,tc,pnl_futures,pnl_etf,total_pnl,cum_pnl
2025-10-22 13:15:00,open,short_spread,8,-83944,118.846,115.155,-5.859983117603065,1.5300002233127838,522.8204312,,,,
2025-10-22 14:47:00,close,,-8,83944,119.056,115.435,-5.953206384269123,,1047.4036864,22400.00000000009,-17628.239999999474,3724.356313600617,59725.036768098114
2025-10-23 09:33:00,open,short_spread,8,-83908,119.001,115.255,-5.813277141412371,2.069721268707359,523.2567954,,,,
2025-10-23 14:55:00,close,,-8,83908,118.72,115.045,-5.8668596914128415,,1044.155776,-16799.999999999498,23578.148000000496,5733.992224000998,65459.02899209911
2025-10-24 09:31:00,open,short_spread,8,-83894,118.592,114.84,-5.772856942603767,1.6211394746402674,521.4578624000001,,,,
2025-10-24 11:02:00,close,,-8,83894,118.763,115.085,-5.867177300936547,,1044.3503122,19599.99999999923,-14345.874000000544,4209.775687798685,69668.8046798978
2025-10-24 13:11:00,open,short_spread,8,-83895,118.626,114.875,-5.776759850937012,1.5743758851267413,521.6064134999999,,,,
2025-10-24 13:46:00,close,,-8,83895,118.699,115.015,-5.8553714842700515,,1043.8252605000002,11200.000000000045,-6124.334999999437,4031.839739500608,73700.6444193984
2025-10-24 14:23:00,open,short_spread,8,-83892,118.621,114.865,-5.770930448556086,1.564175105801844,521.5676466,,,,
2025-10-24 14:54:00,close,,-8,83892,118.591,114.915,-5.8550774604607625,,1042.8836172000001,4000.0000000009095,2516.7600000000953,5473.876382801004,79174.5208021994
2025-10-27 09:30:00,open,short_spread,8,-83847,118.229,114.425,-5.686436743795156,2.7341253256814775,519.65734815,,,,
2025-10-27 09:32:00,close,,-8,83847,118.231,114.595,-5.868536584270984,,1039.3314657,13600.000000000136,-167.69399999960916,12392.974534300527,91567.49533649994
2025-10-27 11:29:00,open,long_spread,-8,84050,118.557,115.02,-6.002786185460508,-1.6236627643763513,522.2357925,,,,
2025-10-27 14:10:00,close,,8,-84050,118.765,115.135,-5.919324312841212,,1046.2198250000001,-9200.000000000728,17482.399999999867,7236.180174999139,98803.67551149908
2025-10-28 09:30:00,open,long_spread,-8,83700,119.333,115.775,-6.044406065220755,-2.188824744395639,523.4086050000001,,,,
2025-10-30 09:56:00,close,,8,-83700,119.152,115.585,-6.019647419983073,,1045.30224,15200.000000000955,-15149.69999999978,-995.0022399988256,97808.67327150026
2025-10-30 10:42:00,open,long_spread,-8,83900,119.134,115.695,-6.156770846173302,-1.5185082974763915,523.76713,,,,
2025-11-03 09:37:00,close,,8,-83900,119.823,116.345,-6.171682000933785,,1053.31497,-52000.00000000045,57807.09999999941,4753.785029998959,102562.45830149922
2025-11-03 11:29:00,open,short_spread,8,-83400,119.9,116.215,-5.953899769981689,1.7256829353857959,523.983,,,,
2025-11-05 14:35:00,close,,-8,83400,120.112,116.235,-5.763558574743556,,1049.73408,1599.9999999996817,-17680.79999999909,-17130.53407999941,85431.92422149982
2025-11-07 14:29:00,open,short_spread,8,-83500,119.74,115.845,-5.713211881887261,1.608550625561185,523.9145000000001,,,,
2025-11-10 09:45:00,close,,-8,83500,119.641,115.875,-5.844700089030042,,1047.0023500000002,2400.000000000091,8266.499999999127,9619.497649999217,95051.42187149904
2025-11-10 13:34:00,open,long_spread,-8,83400,119.77,116.125,-5.986435148553312,-1.5957452238281702,523.4409,,,,
2025-11-11 13:36:00,close,,8,-83400,119.828,116.145,-5.950093953315161,,1047.3655200000003,-1599.9999999996817,4837.200000000578,2189.8344800008963,97241.25635149993
2025-11-12 10:49:00,open,long_spread,-8,83400,119.878,116.285,-6.051705586648197,-1.5839782697661384,523.89126,,,,
2025-11-12 13:56:00,close,,8,-83400,119.981,116.315,-5.981193793790993,,1048.64154,-2400.000000000091,8590.199999999535,5141.558459999444,102382.81481149938
2025-11-14 13:13:00,open,short_spread,8,-83400,119.793,115.995,-5.822652917601218,1.5141118109271885,523.5368100000001,,,,
2025-11-17 09:45:00,close,,-8,83400,119.86,116.115,-5.885605746172374,,1047.6324,9599.999999999227,-5587.799999999422,2964.567599999805,105347.38241149919
2025-11-17 10:30:00,open,long_spread,-8,83300,119.972,116.375,-6.055170208076575,-1.5199891057351669,523.6833799999999,,,,
2025-11-17 13:08:00,close,,8,-83300,119.934,116.285,-5.995705586648199,,1047.05022,7200.000000000273,-3165.3999999997254,2987.5497800005473,108334.93219149974
2025-11-18 09:57:00,open,long_spread,-8,83300,119.937,116.365,-6.079340805695637,-1.8284712296695802,523.537605,,,,
2025-11-19 09:30:00,close,,8,-83300,119.749,116.135,-6.018264550934248,,1045.5091699999998,18399.99999999918,-15660.4000000002,1694.090829998982,110029.02302149872
2025-11-21 10:02:00,open,short_spread,8,-83700,119.336,115.555,-5.803159212840299,1.863810002390759,523.42116,,,,
2025-11-24 09:49:00,close,,-8,83700,118.945,115.345,-5.966741762840755,,1043.56965,-16800.000000000637,32726.70000000045,14883.130349999812,124912.15337149854
2025-11-25 09:51:00,open,long_spread,-8,84000,119.023,115.545,-6.105329810459352,-1.60490704548419,523.8966,,,,
2025-11-25 14:36:00,close,,8,-84000,118.789,115.255,-6.025277141412374,,1045.8276,23200.000000000502,-19655.999999999553,2498.1724000009494,127410.3257714995
2025-11-27 14:57:00,open,short_spread,8,-83956,118.045,114.395,-5.8379485366523625,1.5245880837258337,519.529301,,,,
