策略,绝对收益(元),年化收益率,夏普比率,最大回撤,交易次数,年化收益率(%),最大回撤(%)
2a_ETF申赎套利(511130),122734.48,5.8357,13.9415,0.0,34,,
2b_OU配对交易(511090vsTL),277019.76,,2.3195,,29911,3.8357,-0.1696
