number,value,datetime_start,datetime_complete,duration,params_entry_z,params_exit_z,params_max_trade_loss,params_ou_window,params_update_freq,state
37,-1.9437287013927418,2026-05-14 14:35:31.662021,2026-05-14 14:35:31.666874,0 days 00:00:00.004853,2.0,0.6,1.8,1700,180,COMPLETE
38,-3.8423316551093283,2026-05-14 14:35:31.667133,2026-05-14 14:35:31.671045,0 days 00:00:00.003912,1.25,0.5,1.6,1500,240,COMPLETE
39,-2.1148313777580783,2026-05-14 14:35:31.671261,2026-05-14 14:35:31.675289,0 days 00:00:00.004028,2.5,1.2000000000000002,1.4000000000000001,1900,270,COMPLETE
40,-0.35304763783232623,2026-05-14 14:35:31.675523,2026-05-14 14:35:31.679449,0 days 00:00:00.003926,1.75,0.6,1.0,1700,210,COMPLETE
41,-0.4385118994978686,2026-05-14 14:35:31.679678,2026-05-14 14:35:31.684563,0 days 00:00:00.004885,1.75,0.4,1.0,1700,210,COMPLETE
42,-0.22328040483646575,2026-05-14 14:35:31.684805,2026-05-14 14:35:31.688660,0 days 00:00:00.003855,1.75,0.4,1.0,1700,240,COMPLETE
43,-3.470657189292253,2026-05-14 14:35:31.688919,2026-05-14 14:35:31.692907,0 days 00:00:00.003988,1.25,0.4,0.6000000000000001,1500,240,COMPLETE
44,-3.4265271715445293,2026-05-14 14:35:31.693124,2026-05-14 14:35:31.697069,0 days 00:00:00.003945,1.5,0.6,0.8,1300,240,COMPLETE
45,-3.6809436905571427,2026-05-14 14:35:31.697413,2026-05-14 14:35:31.702522,0 days 00:00:00.005109,1.75,0.2,1.0,1700,180,COMPLETE
46,-3.205253476186853,2026-05-14 14:35:31.702770,2026-05-14 14:35:31.707165,0 days 00:00:00.004395,2.0,0.5,1.0,2000,150,COMPLETE
47,-3.0081019972713676,2026-05-14 14:35:31.707412,2026-05-14 14:35:31.712053,0 days 00:00:00.004641,1.0,0.4,1.4000000000000001,1700,240,COMPLETE
48,-3.640495967581796,2026-05-14 14:35:31.712301,2026-05-14 14:35:31.717290,0 days 00:00:00.004989,1.5,0.6,0.8,1900,270,COMPLETE
49,-3.4892059232460455,2026-05-14 14:35:31.717533,2026-05-14 14:35:31.721596,0 days 00:00:00.004063,2.0,0.2,0.4,1100,300,COMPLETE
50,-4.804205018195247,2026-05-14 14:35:31.721828,2026-05-14 14:35:31.725776,0 days 00:00:00.003948,0.5,0.2,1.0,2000,180,COMPLETE
51,-4.999149219514322,2026-05-14 14:35:31.725974,2026-05-14 14:35:31.730041,0 days 00:00:00.004067,1.75,0.4,1.0,1600,210,COMPLETE
52,-3.743382621310008,2026-05-14 14:35:31.730404,2026-05-14 14:35:31.735571,0 days 00:00:00.005167,1.5,0.5,0.8,1600,210,COMPLETE
53,-0.4982118182176314,2026-05-14 14:35:31.735831,2026-05-14 14:35:31.740328,0 days 00:00:00.004497,1.75,0.30000000000000004,1.2,1700,210,COMPLETE
54,-2.6012590433453595,2026-05-14 14:35:31.740583,2026-05-14 14:35:31.744811,0 days 00:00:00.004228,2.0,0.7000000000000001,1.0,1800,180,COMPLETE
55,-4.89999960020261,2026-05-14 14:35:31.745046,2026-05-14 14:35:31.750323,0 days 00:00:00.005277,1.75,0.5,0.6000000000000001,1500,240,COMPLETE
56,-1.5424433993881783,2026-05-14 14:35:31.750573,2026-05-14 14:35:31.754615,0 days 00:00:00.004042,2.25,0.9,0.8,1900,240,COMPLETE
57,-2.1626381293332058,2026-05-14 14:35:31.754816,2026-05-14 14:35:31.759668,0 days 00:00:00.004852,2.0,1.0,1.4000000000000001,1700,210,COMPLETE
58,-1.927693735423122,2026-05-14 14:35:31.759903,2026-05-14 14:35:31.763914,0 days 00:00:00.004011,2.25,0.4,1.2,1300,180,COMPLETE
59,-3.356600541283899,2026-05-14 14:35:31.764179,2026-05-14 14:35:31.769021,0 days 00:00:00.004842,1.75,0.6,1.0,2000,270,COMPLETE
60,-3.641272245396086,2026-05-14 14:35:31.769271,2026-05-14 14:35:31.773225,0 days 00:00:00.003954,1.5,0.30000000000000004,1.2,700,210,COMPLETE
61,-3.9916725358143856,2026-05-14 14:35:31.773431,2026-05-14 14:35:31.777591,0 days 00:00:00.004160,1.75,0.30000000000000004,1.2,1800,210,COMPLETE
62,-3.9932811899421803,2026-05-14 14:35:31.777804,2026-05-14 14:35:31.782640,0 days 00:00:00.004836,1.5,0.30000000000000004,1.2,1600,240,COMPLETE
63,-0.4385118994978686,2026-05-14 14:35:31.782898,2026-05-14 14:35:31.787304,0 days 00:00:00.004406,1.75,0.4,1.4000000000000001,1700,210,COMPLETE
64,-2.1381754196636917,2026-05-14 14:35:31.787532,2026-05-14 14:35:31.792331,0 days 00:00:00.004799,2.0,0.4,1.6,1400,150,COMPLETE
65,-1.1526962131679666,2026-05-14 14:35:31.792612,2026-05-14 14:35:31.796977,0 days 00:00:00.004365,2.25,0.7000000000000001,1.4000000000000001,1800,210,COMPLETE
66,-2.9506018464480857,2026-05-14 14:35:31.797243,2026-05-14 14:35:31.802289,0 days 00:00:00.005046,2.5,0.5,1.4000000000000001,1700,180,COMPLETE
67,-3.412820023028507,2026-05-14 14:35:31.802529,2026-05-14 14:35:31.806643,0 days 00:00:00.004114,1.75,0.9,1.0,1900,210,COMPLETE
68,-2.7127215275973144,2026-05-14 14:35:31.806855,2026-05-14 14:35:31.811268,0 days 00:00:00.004413,2.0,1.2000000000000002,0.8,1500,120,COMPLETE
69,-4.035784683102359,2026-05-14 14:35:31.811494,2026-05-14 14:35:31.816804,0 days 00:00:00.005310,1.5,0.5,1.8,1600,240,COMPLETE
70,-2.0883585981936768,2026-05-14 14:35:31.817077,2026-05-14 14:35:31.821422,0 days 00:00:00.004345,2.25,0.6,1.2,1900,270,COMPLETE
71,0.1688647433876321,2026-05-14 14:35:31.821632,2026-05-14 14:35:31.825662,0 days 00:00:00.004030,1.75,0.2,1.2,1700,210,COMPLETE
72,0.1688647433876321,2026-05-14 14:35:31.825877,2026-05-14 14:35:31.829965,0 days 00:00:00.004088,1.75,0.2,1.4000000000000001,1700,210,COMPLETE
73,-3.3611170553055127,2026-05-14 14:35:31.830175,2026-05-14 14:35:31.835870,0 days 00:00:00.005695,1.75,0.1,1.0,1800,240,COMPLETE
74,-1.497374574555552,2026-05-14 14:35:31.836120,2026-05-14 14:35:31.840278,0 days 00:00:00.004158,2.0,0.2,1.2,1800,180,COMPLETE
75,-4.16881516861672,2026-05-14 14:35:31.840500,2026-05-14 14:35:31.845508,0 days 00:00:00.005008,1.5,0.1,1.0,1600,60,COMPLETE
76,-3.834009538408248,2026-05-14 14:35:31.845741,2026-05-14 14:35:31.850717,0 days 00:00:00.004976,1.25,0.2,1.6,1500,210,COMPLETE
77,-2.069279316247381,2026-05-14 14:35:31.850964,2026-05-14 14:35:31.855381,0 days 00:00:00.004417,2.5,0.1,1.2,1700,210,COMPLETE
78,-3.59302455435063,2026-05-14 14:35:31.855613,2026-05-14 14:35:31.859860,0 days 00:00:00.004247,2.0,1.0,1.4000000000000001,2000,240,COMPLETE
79,-3.203610391519588,2026-05-14 14:35:31.860064,2026-05-14 14:35:31.864935,0 days 00:00:00.004871,1.75,1.1,0.8,1700,180,COMPLETE
