datetime,action,futures,etf,spread,zscore,tc,reason,pnl_fut,pnl_etf,total,cum_pnl
2025-09-30 13:04:00,open,-8.0,84027.0,-5.9070137961774805,-2.6821346624656126,516.9738049499999,,,,,
2025-09-30 13:07:00,close,,,,,1034.6114232,stop_loss,-3199.9999999993634,6638.132999999456,2403.5215768000926,2403.5215768000926
2025-09-30 13:08:00,open,-8.0,84015.0,-5.895307819986783,-2.564853752583015,517.40749275,,,,,
2025-09-30 14:00:00,close,,,,,1034.7981825,stop_loss,2400.000000000091,-168.02999999960838,1197.1718175004828,3600.693394300575
2025-09-30 14:01:00,open,-8.0,83996.0,-5.865331405701198,-2.264523298705532,517.1489156,,,,,
2025-09-30 14:08:00,close,,,,,1034.1886364000002,stop_loss,3199.9999999993634,-1091.9479999992457,1073.8633636001177,4674.556757900693
2025-09-30 14:09:00,open,-8.0,83998.0,-5.867013796177488,-2.2813789869986563,516.9716622999999,,,,,
2025-09-30 14:14:00,close,,,,,1034.3297154000002,stop_loss,800.0000000004093,3863.9080000005442,3629.5782846009533,8304.135042501646
2025-09-30 14:30:00,open,-8.0,83996.0,-5.866990210463058,-2.281142684275708,517.2329116,,,,,
2025-09-30 14:32:00,close,,,,,1034.3818272,stop_loss,3199.9999999993634,-839.9599999992361,1325.6581728001272,9629.793215301774
2025-09-30 14:37:00,open,-8.0,84000.0,-5.869184393796544,-2.303125969873455,516.9288,,,,,
2025-10-10 09:32:00,close,,,,,1037.8392,signal,-41599.99999999968,39815.99999999912,-2821.83920000056,6807.954015301213
2025-10-16 09:47:00,open,-8.0,84148.0,-6.120024791413769,-2.277028962603056,520.5236888000001,,,,,
2025-10-16 10:12:00,close,,,,,1040.6013932,stop_loss,6399.999999999864,-4459.84399999977,899.5546068000936,7707.508622101306
2025-10-16 10:31:00,open,-8.0,84148.0,-6.122830608080278,-2.3192652641249096,520.830829,,,,,
2025-10-16 11:05:00,close,,,,,1041.2745772,stop_loss,5599.999999999454,-3870.8079999993497,687.9174228001045,8395.426044901411
2025-10-16 11:08:00,open,-8.0,84154.0,-6.131001205699349,-2.4422582696095345,520.7863082000001,,,,,
2025-10-16 11:18:00,close,,,,,1041.2191696,stop_loss,5600.000000000591,-3534.468000000134,1024.3128304004572,9419.738875301868
2025-10-16 11:23:00,open,-8.0,84147.0,-6.122660010461203,-2.3166972372954437,520.8712055999999,,,,,
2025-10-16 14:21:00,close,,,,,1042.7353458000002,stop_loss,-6399.999999999864,9929.34599999958,2486.6106541997156,11906.349529501584
2025-10-16 14:25:00,open,-8.0,84141.0,-6.124418655698875,-2.3431703391965377,521.694015,,,,,
2025-10-16 14:35:00,close,,,,,1042.7149020000002,stop_loss,8799.999999999955,-6731.279999999857,1026.0050980000974,12932.354627501682
2025-10-16 14:42:00,open,-8.0,84144.0,-6.125271643794221,-2.356010473343439,521.480364,,,,,
2025-10-17 09:30:00,close,,,,,1045.274688,stop_loss,-16000.000000000227,23139.599999999282,6094.325311999055,19026.679939500737
2025-10-23 09:41:00,open,8.0,-83871.0,-5.755324312841211,2.5368566223297684,522.73470795,,,,,
2025-10-23 09:47:00,close,,,,,1045.8887709,stop_loss,6399.999999999864,-4193.549999999762,1160.5612291001016,20187.241168600838
2025-10-23 09:48:00,open,8.0,-83884.0,-5.775397818793522,2.308601921822916,522.8413712,,,,,
2025-10-23 10:01:00,close,,,,,1046.42931,stop_loss,9200.000000000728,-7465.675999999886,687.8946900008418,20875.13585860168
2025-10-23 10:05:00,open,8.0,-83877.0,-5.770277141412379,2.366828854616907,523.2526794,,,,,
2025-10-23 10:42:00,close,,,,,1047.2518641,stop_loss,8799.999999999955,-7465.052999999885,287.6951359000693,21162.83099450175
2025-10-23 14:09:00,open,8.0,-83881.0,-5.779082958078888,2.2666984114991267,523.5574895500001,,,,,
2025-10-23 14:53:00,close,,,,,1044.6572658,stop_loss,-18400.00000000032,24577.133000000533,5132.475734200212,26295.306728701962
2025-10-27 09:30:00,open,8.0,-83847.0,-5.686436743795156,2.6093428808692343,519.65734815,,,,,
2025-10-27 09:31:00,close,,,,,1039.3901586,stop_loss,7200.000000000273,-754.6230000000286,5405.986841400244,31701.293570102207
2025-10-28 09:37:00,open,-8.0,83700.0,-6.058358893791919,-2.256456129870111,523.8940650000001,,,,,
2025-10-28 09:42:00,close,,,,,1047.9471600000002,stop_loss,799.9999999992724,1590.3000000004567,1342.352839999729,33043.64641010194
2025-10-28 09:48:00,open,-8.0,83700.0,-6.076211881887261,-2.489708354481431,523.592745,,,,,
2025-10-28 09:52:00,close,,,,,1046.74188,stop_loss,7200.000000000273,-4436.099999999771,1717.1581200005016,34760.80453010244
2025-10-28 10:01:00,open,-8.0,83700.0,-6.071553077125401,-2.428840304330367,523.5216,,,,,
2025-10-28 10:11:00,close,,,,,1046.56611,stop_loss,6399.999999999864,-4770.900000000181,582.533889999683,35343.338420102125
2025-10-28 10:17:00,open,-8.0,83800.0,-6.0674060652207515,-2.374658912000784,523.9089,,,,,
2025-10-28 10:19:00,close,,,,,1047.6502,stop_loss,5600.000000000591,-1675.9999999996667,2876.3498000009245,38219.68822010305
