datetime,type,trade_pnl
2025-09-30 13:07:00,trade_stop,-24730.813720392525
2025-09-30 14:00:00,trade_stop,-21130.820033439075
2025-09-30 14:08:00,trade_stop,-21012.58193665887
2025-09-30 14:14:00,trade_stop,-39387.42178886494
2025-09-30 14:32:00,trade_stop,-23091.82719379757
2025-10-16 10:12:00,trade_stop,-23311.956559079288
2025-10-16 11:05:00,trade_stop,-20657.867646328097
2025-10-16 11:18:00,trade_stop,-23430.194655849646
2025-10-16 14:21:00,trade_stop,-21738.357345599106
2025-10-16 14:35:00,trade_stop,-27115.73278301607
2025-10-17 09:30:00,trade_stop,-40484.25831639494
2025-10-23 09:47:00,trade_stop,-25391.20181620814
2025-10-23 10:01:00,trade_stop,-24630.827601315537
2025-10-23 10:42:00,trade_stop,-20877.997011599968
2025-10-23 14:53:00,trade_stop,-30442.74632104206
2025-10-27 09:31:00,trade_stop,-61313.21484316868
2025-10-28 09:42:00,trade_stop,-20674.21447460679
2025-10-28 09:52:00,trade_stop,-30817.61773847103
2025-10-28 10:11:00,trade_stop,-20539.62954954789
2025-10-28 10:19:00,trade_stop,-38677.99320820339
2025-10-28 10:34:00,trade_stop,-22686.16726922589
2025-10-28 11:15:00,trade_stop,-21942.139882582433
2025-10-28 15:00:00,trade_stop,-22313.20100118205
2025-10-29 10:39:00,trade_stop,-24241.514505002855
2025-10-29 11:11:00,trade_stop,-21942.139882602132
2025-10-29 14:20:00,trade_stop,-21216.364473652047
2025-10-29 14:43:00,trade_stop,-20657.867646328097
2025-10-31 09:43:00,trade_stop,-22871.697828515848
2025-11-04 14:07:00,trade_stop,-20759.758914809914
2025-11-05 11:14:00,trade_stop,-20674.21447461664
2025-11-05 13:03:00,trade_stop,-34079.243963372406
2025-11-11 10:59:00,trade_stop,-23242.758947125312
2025-11-14 13:47:00,trade_stop,-20776.105743098455
2025-11-14 14:15:00,trade_stop,-23311.95655906944
2025-11-17 09:30:00,trade_stop,-33337.12172616332
2025-11-18 13:30:00,trade_stop,-23784.908946180418
2025-11-18 14:09:00,trade_stop,-21485.53432376
2025-11-18 14:25:00,trade_stop,-20674.21447461664
2025-11-21 10:08:00,trade_stop,-29735.222889785346
2025-12-01 09:31:00,trade_stop,-20099.370819014
2025-12-01 09:50:00,trade_stop,-28130.835169152604
2025-12-09 10:05:00,trade_stop,-20319.50018428587
2025-12-10 09:30:00,trade_stop,-66857.86886219207
2025-12-12 09:57:00,trade_stop,-25085.528010703598
2025-12-12 10:12:00,trade_stop,-24408.79308662899
2025-12-18 11:14:00,trade_stop,-20996.235108380177
2025-12-19 14:23:00,trade_stop,-20099.370819004147
2025-12-22 14:09:00,trade_stop,-22178.616076142847
